Position,"Track Name",Artist,Streams,URL
1,"Despacito - Remix","Luis Fonsi",1438895,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
2,"XO TOUR Llif3","Lil Uzi Vert",1281466,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
3,"Wild Thoughts","DJ Khaled",1213992,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
4,"I'm the One","DJ Khaled",1210660,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
5,HUMBLE.,"Kendrick Lamar",1141867,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
6,Unforgettable,"French Montana",1008697,https://open.spotify.com/track/1F2HXIJrE2Xn81OzT2zZvW
7,Congratulations,"Post Malone",948495,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
8,Slide,"Calvin Harris",838503,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl
9,Redbone,"Childish Gambino",792568,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y
10,Location,Khalid,752873,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
11,Feels,"Calvin Harris",748664,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
12,Signs,Drake,726335,https://open.spotify.com/track/6Na5uKk5SsqZimk0hAWo8y
13,"Mask Off",Future,716676,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
14,DNA.,"Kendrick Lamar",706163,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj
15,Rollin,"Calvin Harris",697691,https://open.spotify.com/track/0lMbuWUpfTWhEmOKxppEau
16,"Body Like A Back Road","Sam Hunt",673743,https://open.spotify.com/track/7mldq42yDuxiUNn08nvzHO
17,Believer,"Imagine Dragons",660142,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
18,Magnolia,"Playboi Carti",652502,https://open.spotify.com/track/1e1JKLEDKP7hEQzJfNAgPl
19,"That's What I Like","Bruno Mars",627634,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
20,1-800-273-8255,Logic,626757,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
21,"2U (feat. Justin Bieber)","David Guetta",607175,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
22,goosebumps,"Travis Scott",603679,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
23,"Stay (with Alessia Cara)",Zedd,603278,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
24,"Butterfly Effect","Travis Scott",573399,https://open.spotify.com/track/1yxgsra98r3qAtxqiGZPiX
25,"Strip That Down","Liam Payne",557397,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
26,"Slippery (feat. Gucci Mane)",Migos,557035,https://open.spotify.com/track/6p8NuHm8uCGnn2Dtbtf7zE
27,Attention,"Charlie Puth",542617,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
28,Passionfruit,Drake,541068,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
29,"LOVE. FEAT. ZACARI.","Kendrick Lamar",539612,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
30,"Shape of You","Ed Sheeran",535819,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
31,Thunder,"Imagine Dragons",532037,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
32,"Now Or Never",Halsey,525710,https://open.spotify.com/track/0Nhu3zSYbEz32IYiobV75e
33,"Drowning (feat. Kodak Black)","A Boogie Wit da Hoodie",524623,https://open.spotify.com/track/6Q2FftbUG530lCtBI74bMH
34,"iSpy (feat. Lil Yachty)",KYLE,497336,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
35,"Bad Liar","Selena Gomez",495377,https://open.spotify.com/track/1sCxVKWImDZSZKvG0U9B23
36,"4 AM","2 Chainz",476559,https://open.spotify.com/track/1nX9KhK3Fff27SnrIor2Yb
37,"Slow Hands","Niall Horan",464698,https://open.spotify.com/track/167NczpNbRF7oWakJaY3Hh
38,"There's Nothing Holdin' Me Back","Shawn Mendes",462438,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
39,"No Complaints","Metro Boomin",428563,https://open.spotify.com/track/6kig1UFggPUyZBCvXD3Wod
40,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",410732,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
41,Portland,Drake,401062,https://open.spotify.com/track/2bjwRfXMk4uRgOD9IBYl9h
42,"LOYALTY. FEAT. RIHANNA.","Kendrick Lamar",399442,https://open.spotify.com/track/6SwRhMLwNqEi6alNPVG00n
43,"It's A Vibe","2 Chainz",394263,https://open.spotify.com/track/6H0AwSQ20mo62jGlPGB8S6
44,"Tunnel Vision","Kodak Black",392914,https://open.spotify.com/track/4Q3N4Ct4zCuIHuZ65E3BD4
45,"Something Just Like This","The Chainsmokers",384652,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
46,"There for You","Martin Garrix",384033,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y
47,Issues,"Julia Michaels",349909,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
48,"Bounce Back","Big Sean",339901,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF
49,Malibu,"Miley Cyrus",338500,https://open.spotify.com/track/2habSXqcJGExM6JJyskY7O
50,T-Shirt,Migos,331315,https://open.spotify.com/track/7KOlJ92bu51cltsD9KU5I7
51,"Crying in the Club","Camila Cabello",330589,https://open.spotify.com/track/1SJtlNRJDeYHioymcvsqev
52,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,329049,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
53,"911 / Mr. Lonely","Tyler, The Creator",324355,https://open.spotify.com/track/1pGAvZo2axYXAXYiSeYEqY
54,"It Ain't Me (with Selena Gomez)",Kygo,323044,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
55,"Young Dumb & Broke",Khalid,321795,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
56,"I Like Me Better",Lauv,312359,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9
57,wokeuplikethis*,"Playboi Carti",309222,https://open.spotify.com/track/59J5nzL1KniFHnU120dQzt
58,Closer,"The Chainsmokers",308826,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
59,Swang,"Rae Sremmurd",308509,https://open.spotify.com/track/6mapJIPnQ23RTAevUoE0DL
60,"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)","Major Lazer",306285,https://open.spotify.com/track/3Ytr1SUCUi6J3L9dRFx5iH
61,"Look At Me!",XXXTENTACION,302815,https://open.spotify.com/track/4ARPvK8DHLwt4oX65ZAFMw
62,ELEMENT.,"Kendrick Lamar",297013,https://open.spotify.com/track/1EaKU4dMbesXXd3BrLCtYG
63,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",295219,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
64,"Fake Love",Drake,294933,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
65,"Love Galore",SZA,291880,https://open.spotify.com/track/0q75NwOoFiARAVp4EXU4Bs
66,"Prayers Up","Calvin Harris",286383,https://open.spotify.com/track/4KaIJ1FWXUoAAnOts1YWjD
67,"Craving You","Thomas Rhett",286061,https://open.spotify.com/track/6zLdXcmvIxnAXpz9sXFnIE
68,Rolex,"Ayo & Teo",284360,https://open.spotify.com/track/0pSBuHjILhNEo55xK1zrRt
69,"Say You Won't Let Go","James Arthur",282244,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
70,"do re mi",blackbear,280427,https://open.spotify.com/track/3Q3myFA7q4Op95DOpHplaY
71,Mama,"Jonas Blue",277305,https://open.spotify.com/track/4xlrALxuaCf9yZBHJeTSG6
72,Gyalchester,Drake,272337,https://open.spotify.com/track/6UjfByV1lDLW0SOVQA4NAi
73,"Broccoli (feat. Lil Yachty)",DRAM,271723,https://open.spotify.com/track/7yyRTcZmCiyzzJlNzGC9Ol
74,"More Than You Know","Axwell /\ Ingrosso",265845,https://open.spotify.com/track/4q8PHoRsPUB52LFylX8Ulz
75,"First Day Out","Tee Grizzley",265121,https://open.spotify.com/track/3muBQDekYAg7jm6hDu6R0Z
76,"Met Gala (feat. Offset)","Gucci Mane",261458,https://open.spotify.com/track/2XaInsPPUkZRkY4uFJ3AHK
77,"Most Girls","Hailee Steinfeld",260958,https://open.spotify.com/track/2mfUa8bLs2s5N4VaqJZ4lZ
78,"Whatever It Takes","Imagine Dragons",260174,https://open.spotify.com/track/4IWAyPf1KMq7JCyGeCjTeH
79,Starboy,"The Weeknd",253630,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
80,"One Dance",Drake,248682,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
81,Down,"Fifth Harmony",248024,https://open.spotify.com/track/7LEydI5NfjY6mZfKwYIptZ
82,"Mi Gente","J Balvin",247185,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
83,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",246422,https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR
84,"No Problem (feat. Lil Wayne & 2 Chainz)","Chance The Rapper",243081,https://open.spotify.com/track/0v9Wz8o0BT8DU38R4ddjeH
85,"First Time",Kygo,241111,https://open.spotify.com/track/2Gl0FzuLxflY6nPifJp5Dr
86,"Extra Luv",Future,238668,https://open.spotify.com/track/1tlBuoIRrtqFs9bE9dmli5
87,"Swish Swish","Katy Perry",233016,https://open.spotify.com/track/2kVHAQKVtczchKctctzbtK
88,"Don't Quit","DJ Khaled",230806,https://open.spotify.com/track/6LOCAhFzZiavHcLJucLuDy
