Position,"Track Name",Artist,Streams,URL
55,"I Get The Bag (feat. Migos)","Gucci Mane",451418,https://open.spotify.com/track/1XRgIKC5TPwo7nWGyKqgG0
56,"New Rules","Dua Lipa",448807,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
57,"Capital Letters","Hailee Steinfeld",446833,https://open.spotify.com/track/3towKHKVOXCCcL1fHv6xFO
58,"Bodak Yellow","Cardi B",446523,https://open.spotify.com/track/2771LMNxwf62FTAdpJMQfM
59,"Roll In Peace (feat. XXXTENTACION)","Kodak Black",445053,https://open.spotify.com/track/40oKW22ZNNkEdZLJTScaQI
60,Wolves,"Selena Gomez",444455,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
61,Location,Khalid,438565,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
62,"Opps (with Yugen Blakrok)","Vince Staples",438454,https://open.spotify.com/track/7bUcBztfGqO7cSI2gMZeCI
63,1-800-273-8255,Logic,436688,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
64,goosebumps,"Travis Scott",428461,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
65,"Red Roses (feat. Landon Cube)","Lil Skies",414853,https://open.spotify.com/track/3ZhTT6yjZwpPph5MIJ53XY
66,"Rewrite The Stars","Zac Efron",411610,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
67,"Too Good At Goodbyes","Sam Smith",411458,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
68,"I Am","Jorja Smith",407717,https://open.spotify.com/track/0DJBgBiYeSn6n1AXAkFVE8
69,"Jocelyn Flores",XXXTENTACION,407586,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
70,Unforgettable,"French Montana",404821,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
71,Thunder,"Imagine Dragons",404114,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
72,Silence,Marshmello,401378,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
73,"Butterfly Effect","Travis Scott",401229,https://open.spotify.com/track/1yxgsra98r3qAtxqiGZPiX
74,"Gucci Gang","Lil Pump",400274,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc
75,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,388922,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
76,Heaven,"Julia Michaels",386386,https://open.spotify.com/track/4QfNOZN7vrQCQKK1ZJ3XPb
77,"The Way Life Goes (feat. Oh Wonder)","Lil Uzi Vert",382110,https://open.spotify.com/track/2eAZfqOm4EnOF9VvN50Tyc
78,"Rubbin Off The Paint","YBN Nahmir",376372,https://open.spotify.com/track/1QRJb5VY3sIkCKcTuIKCrk
79,"Getting Over You",Lauv,365391,https://open.spotify.com/track/2BNkTvg1kHAAfGvqh56x5a
80,DNA.,"Kendrick Lamar",365296,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj
81,"This Is Me","Keala Settle",363418,https://open.spotify.com/track/2xGjteMU3E1tkEPVFBO08U
82,"Bloody Waters (with Anderson .Paak & James Blake)",Ab-Soul,360226,https://open.spotify.com/track/4KXwFI9pgJLpUIAc9oSL8j
83,"For You (Fifty Shades Freed) (& Rita Ora)","Liam Payne",359390,https://open.spotify.com/track/5hM6sP0Gh1jD57drszNueC
84,"Sorry Not Sorry","Demi Lovato",358786,https://open.spotify.com/track/3m660poUr1chesgkkjQM7P
85,"Bad At Love",Halsey,356916,https://open.spotify.com/track/7y9iMe8SOB6z3NoHE2OfXl
86,KEKE,6ix9ine,350614,https://open.spotify.com/track/0zl3PdjIl320fK0pxBGWNR
87,"Notice Me",Migos,349909,https://open.spotify.com/track/3OnOomd79OjqSYHchCQ6ht
88,"Drowning (feat. Kodak Black)","A Boogie Wit da Hoodie",345791,https://open.spotify.com/track/1f5cbQtDrykjarZVrShaDI
89,"Tell Me You Love Me","Demi Lovato",344006,https://open.spotify.com/track/5Htb1uFQ1KrkFXlefS8oGj
90,"Shape of You","Ed Sheeran",333867,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
91,"Plug Walk","Rich The Kid",332555,https://open.spotify.com/track/0gD6lWJhbXHWNVwQziSVvl
92,"I Miss You (feat. Julia Michaels)","Clean Bandit",330560,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
93,"Slippery (feat. Gucci Mane)",Migos,329089,https://open.spotify.com/track/6p8NuHm8uCGnn2Dtbtf7zE
94,Redbone,"Childish Gambino",322881,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y
95,"What Lovers Do (feat. SZA)","Maroon 5",320917,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
96,"Redemption (with Babes Wodumo)",Zacari,319408,https://open.spotify.com/track/76iVOVsliCHlWqKuDnCfhE
97,"BBO (Bad Bitches Only)",Migos,315438,https://open.spotify.com/track/4BHzHISX21PYwGXiBEUQ70
98,Dura,"Daddy Yankee",309391,https://open.spotify.com/track/2j2fIJGh4PMdXt9ULI5Tlc
99,"Go Flex","Post Malone",307929,https://open.spotify.com/track/5yuShbu70mtHXY0yLzCQLQ
100,Believer,"Imagine Dragons",305498,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
101,GUMMO,6ix9ine,304537,https://open.spotify.com/track/2vjmyyAnDUzilFYxOlTdO1
102,"Feel It Still","Portugal. The Man",302789,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
103,"Love Galore",SZA,298498,https://open.spotify.com/track/0q75NwOoFiARAVp4EXU4Bs
104,"Miss You (with Major Lazer & Tory Lanez)","Cashmere Cat",294588,https://open.spotify.com/track/0as7lPxkBPctZ7uVmchRNM
105,"Diplomatic Immunity",Drake,293765,https://open.spotify.com/track/5goGDc74vVREyN8al8CkPh
106,"Ice Tray","Quality Control",293352,https://open.spotify.com/track/3wdfLVUhmX64lIyWIIEW8s
107,"Marry Me","Thomas Rhett",285767,https://open.spotify.com/track/0OWZFobGSIW9GrSlQ9C5pc
108,"She Loves Control","Camila Cabello",283273,https://open.spotify.com/track/5HwnezK198pJCEj1l2Adjy
109,"Dark Knight Dummo (Feat. Travis Scott)","Trippie Redd",281860,https://open.spotify.com/track/3YeJXuRSNS5FYwOsDu44kD
110,Passionfruit,Drake,281287,https://open.spotify.com/track/5mCPDVBb16L4XQwDdbRUpz
111,"Rake It Up","Yo Gotti",278576,https://open.spotify.com/track/4knL4iPxPOZjQzTUlELGSY
112,"Say You Won't Let Go","James Arthur",278322,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
113,"You Make It Easy","Jason Aldean",275396,https://open.spotify.com/track/2ZxTjs4EdJl4Y9YByIiNoo
114,"The Weekend - Funk Wav Remix",SZA,271636,https://open.spotify.com/track/0P6AWOA4LG1XOctzaVu5tt
115,"Bounce Back","Big Sean",271487,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF
116,"Sauce It Up","Lil Uzi Vert",271117,https://open.spotify.com/track/1uL78kFWxhz3umTMWJu8n5
117,"Body Like A Back Road","Sam Hunt",271052,https://open.spotify.com/track/7mldq42yDuxiUNn08nvzHO
118,"End Game","Taylor Swift",270878,https://open.spotify.com/track/2x0WlnmfG39ZuDmstl9xfX
119,"Mask Off",Future,270798,https://open.spotify.com/track/0VgkVdmE4gld66l8iyGjgx
120,"White Iverson","Post Malone",270351,https://open.spotify.com/track/6eT7xZZlB2mwyzJ2sUKG6w
121,"Losin Control",Russ,270026,https://open.spotify.com/track/4cxMGhkinTocPSVVKWIw0d
122,"Seasons (with Sjava & Reason)",Mozzy,267834,https://open.spotify.com/track/35cOyocq8Gb6UcT0NWeTwn
123,"Redemption Interlude",Zacari,264894,https://open.spotify.com/track/4FpfU1O7WCLBnmwu5XAFk4
124,"It's A Vibe","2 Chainz",263009,https://open.spotify.com/track/6H0AwSQ20mo62jGlPGB8S6
125,B.I.D,"Tory Lanez",261936,https://open.spotify.com/track/4ouEy5ReT2JKndoz8whXep
126,"I Like Me Better",Lauv,261435,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9
127,Magnolia,"Playboi Carti",260963,https://open.spotify.com/track/1e1JKLEDKP7hEQzJfNAgPl
128,"Ghostface Killers","21 Savage",260394,https://open.spotify.com/track/5u6vkDnOyaf8LsteDAj2ub
129,PROUD,"2 Chainz",260383,https://open.spotify.com/track/365wwIjijQdlRJEjUWTidq
130,"Wait (feat. A Boogie Wit da Hoodie)","Maroon 5",259760,https://open.spotify.com/track/0SvxydoxEEkXt9aMAqTfpB
131,"That's What I Like","Bruno Mars",259062,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
132,"No Role Modelz","J. Cole",256783,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
133,"Relationship (feat. Future)","Young Thug",255692,https://open.spotify.com/track/25oOaleife6E2MIKmFkPvg
134,Crew,GoldLink,255427,https://open.spotify.com/track/15EPc80XuFrb2LmOzGjuRg
135,"iSpy (feat. Lil Yachty)",KYLE,255177,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
136,"Gang Gang",Migos,253807,https://open.spotify.com/track/6RKkHI2fkmgZq7uQPPav8f
137,"Strip That Down","Liam Payne",252006,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
138,"Everybody Dies In Their Nightmares",XXXTENTACION,251737,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
139,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",250228,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
140,"How Long","Charlie Puth",249626,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi
141,Attention,"Charlie Puth",246101,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
142,"One Dance",Drake,244566,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
143,"All On Me","Devin Dawson",241667,https://open.spotify.com/track/2mfahQ0EaaZWq4cFNg6A1o
144,"Fake Love",Drake,241500,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
145,"Dedication (feat. Kendrick Lamar)","Nipsey Hussle",240738,https://open.spotify.com/track/6fIjnWrv46njJHLDAY2JdC
146,Transportin',"Kodak Black",240095,https://open.spotify.com/track/1WIZiOuNO3woKfdlSK2gNn
147,"The Greatest Show","Hugh Jackman",239844,https://open.spotify.com/track/43ay9lQZ5rfNcOOHhRF2cM
148,"My My My!","Troye Sivan",239308,https://open.spotify.com/track/2Tq2R8sRftNEqdgJK5HadO
149,"Sober Up",AJR,238225,https://open.spotify.com/track/5537GkcZu99NDs1gH9iCOY
150,Closer,"The Chainsmokers",236459,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
151,"LOYALTY. FEAT. RIHANNA.","Kendrick Lamar",236322,https://open.spotify.com/track/6SwRhMLwNqEi6alNPVG00n
152,"What Ifs","Kane Brown",234526,https://open.spotify.com/track/7zVCrzzEJU7u24sbJPXA5W
153,"Outside Today","YoungBoy Never Broke Again",233284,https://open.spotify.com/track/5Qx9hngUBr30JFrNua7yp4
154,"do re mi",blackbear,232708,https://open.spotify.com/track/3Q3myFA7q4Op95DOpHplaY
155,"Love Scars","Trippie Redd",232402,https://open.spotify.com/track/0AICBlLzFCTpUqmAbtzB2z
156,Cocky,"A$AP Rocky",232206,https://open.spotify.com/track/1nO2NjuFkGaAWcMdJ1pNrp
157,"Tunnel Vision","Kodak Black",231129,https://open.spotify.com/track/4Q3N4Ct4zCuIHuZ65E3BD4
158,Praying,Kesha,230484,https://open.spotify.com/track/0jdny0dhgjUwoIp5GkqEaA
159,"I'm the One","DJ Khaled",230097,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
160,Lust,"Lil Skies",229924,https://open.spotify.com/track/7oJrVhiTPZGBXWPwhxjy9S
161,"The Weekend",SZA,229653,https://open.spotify.com/track/6gU9OKjOE7ghfEd55oRO57
162,"Thought Contagion",Muse,228934,https://open.spotify.com/track/35zrlBOjpfDPMcZzglWOuV
163,Yours,"Russell Dickerson",228192,https://open.spotify.com/track/6RSNKGdv3nDTHqgw4bdzyF
164,Icon,"Jaden Smith",227940,https://open.spotify.com/track/22nyEAEM29tcBRhukR089b
165,"The Race",Tay-K,227395,https://open.spotify.com/track/3wGXyJGsCf1myH5MooQIqE
166,Heaven,"Kane Brown",226309,https://open.spotify.com/track/1HXy5I3HTWq8OvxCn0z7G7
167,"A Million Dreams","Ziv Zaifman",226256,https://open.spotify.com/track/0RoA7ObU6phWpqhlC9zH4Z
168,"Despacito - Remix","Luis Fonsi",226025,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
169,Unforgettable,"Thomas Rhett",225586,https://open.spotify.com/track/30MM5jWpUmOxtTNd9Ey5LZ
170,Wait,"Maroon 5",224633,https://open.spotify.com/track/1Qg9jWGDkKAGZXj5v2OG59
171,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,224047,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
172,"Tip Toe (feat. French Montana)","Jason Derulo",220850,https://open.spotify.com/track/2z4pcBLQXF2BXKFvd0BuB6
173,Saint,"Huncho Jack",220507,https://open.spotify.com/track/7foypmc7KZyU716Yv63BPe
174,Issues,"Julia Michaels",220218,https://open.spotify.com/track/7vu0JkJh0ldukEYbTVcqd0
175,"Losing Sleep","Chris Young",219689,https://open.spotify.com/track/6waqLPcT6ruMhmd36OhmFO
176,"You Broke Up with Me","Walker Hayes",219479,https://open.spotify.com/track/5jZF1nvKORdaHNjNNMRbFl
177,"Never Enough","Loren Allred",218815,https://open.spotify.com/track/0Gl5s8IhMmQE5YQwM8Qx1J
178,Designer,"Lil Pump",218615,https://open.spotify.com/track/1LXbv9jiTtdBdHadZ317Gt
179,Starboy,"The Weeknd",218563,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
180,"Die For You","The Weeknd",218179,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3
181,Portland,Drake,217615,https://open.spotify.com/track/2bjwRfXMk4uRgOD9IBYl9h
182,"Something Just Like This","The Chainsmokers",217164,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
183,"Échame La Culpa","Luis Fonsi",216631,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
184,Don't,"Bryson Tiller",215861,https://open.spotify.com/track/3pXF1nA74528Edde4of9CC
185,"Ahora Dice - Real Hasta La Muerte Remix","Chris Jeday",215496,https://open.spotify.com/track/1fs9kTASuC9RJ9say6KX2K
186,"Do Right",Glades,214150,https://open.spotify.com/track/45w70aQhNwke1yrQZO0ffm
187,"Money Longer","Lil Uzi Vert",213462,https://open.spotify.com/track/0B8QzDH7YWih85V5SEMnyJ
188,"20 Min","Lil Uzi Vert",211915,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng
189,Sensualidad,"Bad Bunny",211857,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw
190,"Do I Make You Wanna","Billy Currington",211793,https://open.spotify.com/track/3I7krC8kr0gFR7P6vInR1I
191,"When It Rains It Pours","Luke Combs",210472,https://open.spotify.com/track/1mMLMZYXkMueg65jRRWG1l
192,"Pills & Automobiles","Chris Brown",210280,https://open.spotify.com/track/5gx2E5aIXMRBellPZW1up5
193,"Heartache On The Dance Floor","Jon Pardi",210196,https://open.spotify.com/track/0w3Q14i073jLoew1hgJkwD
194,"'Till I Collapse",Eminem,209991,https://open.spotify.com/track/6yr8GiTHWvFfi4o6Q5ebdT
195,"The Other Side","Hugh Jackman",209777,https://open.spotify.com/track/2cKovq3l6OJjhVVDbVKOsr
196,"In Case You Didn't Know","Brett Young",209188,https://open.spotify.com/track/10M2Ex445zw585Ducldzkw
197,wokeuplikethis*,"Playboi Carti",208452,https://open.spotify.com/track/59J5nzL1KniFHnU120dQzt
198,Criminal,"Natti Natasha",207161,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C
199,"Get You (feat. Kali Uchis)","Daniel Caesar",207138,https://open.spotify.com/track/7zFXmv6vqI4qOt4yGf3jYZ
200,KOODA,6ix9ine,206619,https://open.spotify.com/track/5NT0aZqWImC9fTzkW4z48o
